URL,Title,Name,Address,Building Size,Lot Size,Year Built,Construction,Water,Sewer,Heating,Gas,Sprinkler System,Year Built/Renovated,Truck Court,Lighting,Building Type,Building Height,Building Class,Typical Floor Size,Column Spacing,Sustainability,Unfinished Ceiling Height,Sale Type,Sale Condition,Property Type,Property Subtype,Tenancy,Building FAR,Land Acres,Percent Leased,Price,Price Per SF,Cap Rate,NOI,Loading Docks,Slab To Slab,Opportunity Zone,Sale Conditions,Construction Status,LoopNet Rating
https://www.loopnet.com/Listing/Milner-Rd-Houston-TX/23751758/,"Houston, TX Industrial for Lease - Milner Rd","Houston, TX Industrial for Lease - Milner Rd","Milner Rd, Houston, TX 77032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/6608-6610-Electronic-Dr-Springfield-VA/18826306/,"Springfield, VA Industrial for Lease - 6608-6610 Electronic Dr","Springfield, VA Industrial for Lease - 6608-6610 Electronic Dr","6608-6610 Electronic Dr, Springfield, VA 22151","93,968 SF",3.77 AC,1960,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/7212-7282-NW-33rd-St-Miami-FL/32592332/,"Miami, FL Industrial for Lease - 7212-7282 NW 33rd St","Miami, FL Industrial for Lease - 7212-7282 NW 33rd St","7212-7282 NW 33rd St, Miami, FL 33122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/3340-Spring-Stuebner-Spring-TX/30209263/,"Spring, TX Multiple Space Uses for Lease - 3340 Spring Stuebner","Spring, TX Multiple Space Uses for Lease - 3340 Spring Stuebner","3340 Spring Stuebner, Spring, TX 77389",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/1936-S-Lyndale-Ave-Minneapolis-MN/28700219/,"Minneapolis, MN Multiple Space Uses for Lease - 1936 S Lyndale Ave","Minneapolis, MN Multiple Space Uses for Lease - 1936 S Lyndale Ave","1936 S Lyndale Ave, Minneapolis, MN 55403","75,000 SF",2.09 AC,,Masonry,,,,,Wet,1900/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/4751-4797-NW-72nd-Ave-Miami-FL/28071805/,"Miami, FL Industrial for Lease - 4751-4797 NW 72nd Ave","Miami, FL Industrial for Lease - 4751-4797 NW 72nd Ave","4751-4797 NW 72nd Ave, Miami, FL 33166","81,258 SF",,1980,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/19-Harbor-Park-Dr-Port-Washington-NY/29519407/,"Port Washington, NY Industrial for Lease - 19 Harbor Park Dr","Port Washington, NY Industrial for Lease - 19 Harbor Park Dr","19 Harbor Park Dr, Port Washington, NY 11050","62,617 SF",4.18 AC,1982,Masonry,City,City,Gas,Natural,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/80-Suffolk-Ct-Hauppauge-NY/31781892/,"Hauppauge, NY Industrial for Lease - 80 Suffolk Ct","Hauppauge, NY Industrial for Lease - 80 Suffolk Ct","80 Suffolk Ct, Hauppauge, NY 11788","38,947 SF",2.42 AC,2000,Masonry,City,City,Gas,Natural,Wet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/135-Oser-Ave-Hauppauge-NY/32422258/,"Hauppauge, NY Industrial for Lease - 135 Oser Ave","Hauppauge, NY Industrial for Lease - 135 Oser Ave","135 Oser Ave, Hauppauge, NY 11788","46,052 SF",3.50 AC,1970,Masonry,,,Oil (Fired),,Wet,,75’,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/5570-Atlanta-Hwy-Alpharetta-GA/30899237/,"Alpharetta, GA Industrial for Lease - 5570 Atlanta Hwy","Alpharetta, GA Industrial for Lease - 5570 Atlanta Hwy","5570 Atlanta Hwy, Alpharetta, GA 30004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/740-750-Regal-Row-Dallas-TX/30886390/,"Dallas, TX Industrial for Lease - 740-750 Regal Row","Dallas, TX Industrial for Lease - 740-750 Regal Row","740-750 Regal Row, Dallas, TX 75247","68,260 SF",2.80 AC,1997,Masonry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/3441-Halifax-St-Dallas-TX/28701483/,"Dallas, TX Industrial for Lease - 3441 Halifax St","Dallas, TX Industrial for Lease - 3441 Halifax St","3441 Halifax St, Dallas, TX 75247",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.loopnet.com/Listing/5655-W-Sam-Houston-Pky-N-Houston-TX/28460955/,"Houston, TX Multiple Space Uses for Lease - 5655 W Sam Houston Pky N","Houston, TX Multiple Space Uses for Lease - 5655 W Sam Houston Pky N","5655 W Sam Houston Pky N, Houston, TX 77041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
